Incident Category,Incident Day of Week,Incident Year,Analysis Neighborhood,Longitude,Latitude,Report Type Description
Assault,Friday,2018,Financial District/South Beach,-122.4010513,37.79858005,Initial
Assault,Thursday,2018,Treasure Island,-122.3755931,37.8245243,Initial
Fraud,Wednesday,2018,Lone Mountain/USF,-122.4464708,37.77580159,Initial
Robbery,Friday,2018,Inner Richmond,-122.464145,37.77909073,Initial Supplement
Assault,Wednesday,2018,Lone Mountain/USF,-122.4473015,37.78239164,Initial
Robbery,Sunday,2018,Nob Hill,-122.4202104,37.7882227,Initial
Assault,Monday,2018,South of Market,-122.405831,37.78574399,Initial
Robbery,Friday,2018,Financial District/South Beach,-122.4052212,37.78869399,Initial
Assault,Thursday,2018,Hayes Valley,-122.4275464,37.77438847,Initial
Robbery,Saturday,2018,Western Addition,-122.4242948,37.78339986,Initial
Assault,Monday,2018,Marina,-122.4409776,37.79921237,Initial
Assault,Thursday,2018,Haight Ashbury,-122.4434614,37.769497,Initial
Assault,Friday,2018,South of Market,-122.4159082,37.77527206,Initial
Robbery,Saturday,2018,Financial District/South Beach,-122.4005553,37.7902474,Initial
Assault,Saturday,2018,Western Addition,-122.4236885,37.78874578,Initial
Assault,Monday,2018,Mission,-122.4106098,37.76690344,Initial
Fraud,Saturday,2018,Financial District/South Beach,-122.4045833,37.78673057,Initial
Assault,Saturday,2018,Sunset/Parkside,-122.4775739,37.73923019,Initial Supplement
Robbery,Monday,2018,Financial District/South Beach,-122.405337,37.78931631,Initial
Fraud,Friday,2018,West of Twin Peaks,-122.4597071,37.73550438,Initial Supplement
Assault,Friday,2018,Castro/Upper Market,-122.4274621,37.7687705,Initial
Assault,Wednesday,2018,South of Market,-122.414711,37.77623052,Initial
Fraud,Wednesday,2018,Tenderloin,-122.4162597,37.78537597,Initial
Fraud,Tuesday,2018,Nob Hill,-122.4116992,37.78787217,Initial
Assault,Thursday,2018,South of Market,-122.3949815,37.77708933,Initial
Fraud,Friday,2018,Pacific Heighs,-122.4355811,37.78917153,Initial
Assault,Monday,2018,Haight Ashbury,-122.450217,37.76958894,Initial
Robbery,Thursday,2018,Hayes Valley,-122.4195063,37.77636887,Initial
Assault,Monday,2018,Mission,-122.4145415,37.75729764,Initial
Fraud,Wednesday,2018,Outer Mission,-122.436619,37.72542103,Initial
Stolen Property,Monday,2018,Financial District/South Beach,-122.394407,37.78194211,Initial
Fraud,Wednesday,2018,South of Market,-122.4070015,37.77004977,Initial Supplement
Robbery,Monday,2018,South of Market,-122.4092454,37.78139813,Initial
Assault,Wednesday,2018,Lone Mountain/USF,-122.457733,37.78131459,Initial
Fraud,Saturday,2018,Excelsior,-122.4323852,37.71929846,Initial
Assault,Monday,2018,Financial District/South Beach,-122.3960348,37.78853593,Initial
Assault,Thursday,2018,Pacific Heighs,-122.423975,37.79016047,Initial
Fraud,Monday,2018,Outer Mission,-122.4405413,37.72237513,Initial
Fraud,Friday,2018,Inner Richmond,-122.4685639,37.78082203,Initial
Stolen Property,Thursday,2018,Tenderloin,-122.4122207,37.78207307,Initial
Assault,Sunday,2018,Financial District/South Beach,-122.4004685,37.78503028,Initial
Fraud,Thursday,2018,Castro/Upper Market,-122.4329491,37.7626182,Initial
Fraud,Wednesday,2018,Marina,-122.436761,37.79501602,Initial
Assault,Friday,2018,Tenderloin,-122.4127821,37.78486624,Initial
Assault,Monday,2018,South of Market,-122.3968414,37.78211912,Initial
Assault,Sunday,2018,Bayview Hunters Point,-122.3873726,37.74425941,Initial Supplement
Assault,Thursday,2018,Mission,-122.4199815,37.76827365,Initial
Assault,Thursday,2018,Sunset/Parkside,-122.4823521,37.76146442,Initial
Robbery,Saturday,2018,Tenderloin,-122.4179963,37.78564171,Initial
Fraud,Monday,2018,Tenderloin,-122.4146172,37.78558247,Initial
Assault,Thursday,2018,North Beach,-122.413975,37.80748251,Initial
Fraud,Saturday,2018,Haight Ashbury,-122.4531648,37.76730689,Initial
Assault,Wednesday,2018,Lakeshore,-122.478698,37.72821056,Initial
Robbery,Wednesday,2018,Bayview Hunters Point,-122.4032752,37.74312376,Initial
Assault,Thursday,2018,South of Market,-122.4092834,37.77965775,Initial
Assault,Thursday,2018,Financial District/South Beach,-122.3936181,37.78307785,Initial
Fraud,Thursday,2018,Inner Sunset,-122.4736978,37.75810032,Initial
Fraud,Wednesday,2018,Financial District/South Beach,-122.4020657,37.78872115,Initial
Robbery,Sunday,2018,Mission,-122.4209013,37.7649769,Initial
Assault,Saturday,2018,Tenderloin,-122.4189933,37.78216927,Initial
Fraud,Monday,2018,Hayes Valley,-122.4374229,37.77313349,Initial
Assault,Wednesday,2018,Bayview Hunters Point,-122.3892198,37.73585632,Initial
Assault,Tuesday,2018,West of Twin Peaks,-122.4397478,37.73236806,Initial
Assault,Friday,2018,Golden Gate Park,-122.4542851,37.77289518,Initial
Fraud,Monday,2018,Tenderloin,-122.4158825,37.78351564,Initial
Robbery,Friday,2018,West of Twin Peaks,-122.4645726,37.72613179,Initial
Robbery,Saturday,2018,South of Market,-122.4039209,37.78069905,Initial
Stolen Property,Tuesday,2018,Bayview Hunters Point,-122.3926394,37.75254468,Initial Supplement
Fraud,Thursday,2018,West of Twin Peaks,-122.4752886,37.73745474,Initial
Stolen Property,Wednesday,2018,Tenderloin,-122.4162597,37.78537597,Initial Supplement
Assault,Thursday,2018,Mission,-122.4104867,37.76560584,Initial
Fraud,Friday,2018,Castro/Upper Market,-122.4283541,37.76128957,Initial
Stolen Property,Tuesday,2018,Potrero Hill,-122.3957626,37.75562145,Initial Supplement
Fraud,Friday,2018,Sunset/Parkside,-122.4811812,37.74468118,Initial Supplement
Stolen Property,Sunday,2018,Pacific Heighs,-122.4248719,37.79460729,Initial
Assault,Monday,2018,West of Twin Peaks,-122.4443,37.7315183,Initial
Fraud,Tuesday,2018,Haight Ashbury,-122.4497697,37.76486645,Initial
Robbery,Saturday,2018,Financial District/South Beach,-122.4037468,37.78936328,Initial
Assault,Tuesday,2018,Sunset/Parkside,-122.4979025,37.75329568,Initial
Assault,Friday,2018,Castro/Upper Market,-122.4353173,37.76410227,Initial
Fraud,Wednesday,2018,South of Market,-122.4072937,37.7771793,Initial
Fraud,Sunday,2018,Inner Sunset,-122.4714086,37.76007557,Initial
Robbery,Sunday,2018,Financial District/South Beach,-122.4078525,37.78549156,Initial Supplement
Assault,Friday,2018,Western Addition,-122.4304244,37.78071557,Initial
Assault,Friday,2018,Russian Hill,-122.4239821,37.79855245,Initial
Assault,Monday,2018,Tenderloin,-122.4080362,37.78640961,Initial Supplement
Fraud,Tuesday,2018,Mission,-122.4111201,37.75428677,Initial
Stolen Property,Wednesday,2018,South of Market,-122.4119334,37.78000587,Initial
Fraud,Friday,2018,Haight Ashbury,-122.445345,37.77021017,Initial
Robbery,Wednesday,2018,Financial District/South Beach,-122.4042082,37.78978278,Initial
Assault,Monday,2018,Inner Sunset,-122.4661806,37.76217504,Initial
Fraud,Wednesday,2018,Sunset/Parkside,-122.4906639,37.75735312,Initial
Assault,Wednesday,2018,Mission,-122.4108107,37.75109169,Initial
Fraud,Monday,2018,Bayview Hunters Point,-122.3942435,37.72547565,Initial
Robbery,Wednesday,2018,Mission,-122.4181181,37.76030106,Initial Supplement
Robbery,Tuesday,2018,Sunset/Parkside,-122.4777033,37.74109056,Initial
Fraud,Thursday,2018,Haight Ashbury,-122.4516759,37.76844552,Initial
Fraud,Saturday,2018,Mission,-122.4170488,37.74910651,Initial
Assault,Saturday,2018,South of Market,-122.4026712,37.77347316,Initial
Assault,Tuesday,2018,Haight Ashbury,-122.4357942,37.76905845,Initial
Assault,Tuesday,2018,Tenderloin,-122.4180432,37.77751171,Initial
Fraud,Friday,2018,Financial District/South Beach,-122.3896366,37.78622378,Initial
Fraud,Saturday,2018,West of Twin Peaks,-122.4465641,37.72908315,Initial
Assault,Monday,2018,Tenderloin,-122.4147785,37.78461295,Initial
Robbery,Saturday,2018,Financial District/South Beach,-122.4066832,37.78803331,Initial
Fraud,Wednesday,2018,Outer Richmond,-122.475751,37.77482802,Initial
Fraud,Tuesday,2018,Visitacion Valley,-122.4150805,37.71165503,Initial
Assault,Wednesday,2018,Mission,-122.4174866,37.76518313,Initial
Assault,Tuesday,2018,Castro/Upper Market,-122.4262285,37.76303087,Initial
Robbery,Monday,2018,Financial District/South Beach,-122.4013145,37.79398706,Initial Supplement
Assault,Tuesday,2018,Mission,-122.4126102,37.76006218,Initial
Fraud,Monday,2018,South of Market,-122.4162917,37.77749384,Initial
Assault,Wednesday,2018,Mission,-122.4156138,37.76853739,Initial
Assault,Sunday,2018,Tenderloin,-122.4181789,37.78656598,Initial
Robbery,Tuesday,2018,Financial District/South Beach,-122.4037118,37.78404444,Initial
Assault,Wednesday,2018,South of Market,-122.4015181,37.77438465,Initial
Fraud,Friday,2018,Western Addition,-122.4221454,37.78894262,Initial
Fraud,Thursday,2018,Tenderloin,-122.4189933,37.78216927,Coplogic Initial
Stolen Property,Monday,2018,Castro/Upper Market,-122.4259203,37.75982961,Initial
Fraud,Friday,2018,Potrero Hill,-122.3880011,37.75538988,Initial
Assault,Tuesday,2018,Pacific Heighs,-122.4371292,37.78848786,Initial
Robbery,Sunday,2018,Tenderloin,-122.4160717,37.78444884,Initial
Fraud,Thursday,2018,Japantown,-122.4248584,37.78619643,Coplogic Initial
Assault,Sunday,2018,Bayview Hunters Point,-122.3880908,37.73710638,Initial Supplement
Robbery,Thursday,2018,Chinatown,-122.4066679,37.79786461,Initial
Robbery,Wednesday,2018,Nob Hill,-122.4201161,37.78775665,Initial
Robbery,Thursday,2018,South of Market,-122.4023775,37.77945871,Initial
Stolen Property,Wednesday,2018,Outer Mission,-122.4430659,37.7249883,Initial Supplement
Assault,Thursday,2018,Treasure Island,-122.372689,37.82911002,Initial
Assault,Wednesday,2018,Lakeshore,-122.4780268,37.72011375,Initial
Stolen Property,Sunday,2018,Mission,-122.4216625,37.76257883,Initial Supplement
Assault,Friday,2018,Bayview Hunters Point,-122.3768473,37.74019197,Initial
Assault,Saturday,2018,Mission,-122.4216625,37.76257883,Initial Supplement
Assault,Tuesday,2018,Visitacion Valley,-122.4187718,37.71073194,Initial
Fraud,Wednesday,2018,Sunset/Parkside,-122.4891936,37.75180687,Initial
Assault,Saturday,2018,Inner Sunset,-122.464042,37.76226885,Initial
Assault,Thursday,2018,Mission,-122.4195127,37.76342927,Initial
Fraud,Friday,2018,,,,Coplogic Supplement
Fraud,Saturday,2018,Marina,-122.4314977,37.8023763,Initial
Assault,Thursday,2018,South of Market,-122.3983411,37.78179877,Initial
Fraud,Thursday,2018,Outer Richmond,-122.4727085,37.77870384,Initial
Robbery,Friday,2018,South of Market,-122.4046055,37.77769966,Initial
Assault,Saturday,2018,Mission,-122.4217477,37.77164182,Initial
Fraud,Wednesday,2018,,,,Coplogic Initial
Robbery,Sunday,2018,Mission,-122.4202144,37.76266631,Initial
Assault,Wednesday,2018,Visitacion Valley,-122.4119682,37.70921035,Initial
Fraud,Sunday,2018,Western Addition,-122.4277789,37.78392473,Initial
Assault,Wednesday,2018,Tenderloin,-122.4128812,37.78535382,Initial
Fraud,Monday,2018,West of Twin Peaks,-122.4745473,37.72119692,Initial
Assault,Monday,2018,Mission,-122.4152507,37.7647053,Initial
Fraud,Saturday,2018,Inner Sunset,-122.4732624,37.75438115,Initial
Robbery,Sunday,2018,Financial District/South Beach,-122.4084016,37.78829319,Initial Supplement
Assault,Friday,2018,Western Addition,-122.432329,37.78142837,Initial Supplement
Fraud,Tuesday,2018,Bayview Hunters Point,-122.3911076,37.72747635,Initial
Robbery,Saturday,2018,Mission,-122.4182879,37.75063965,Initial
Fraud,Wednesday,2018,Outer Richmond,-122.4738329,37.778653,Initial Supplement
Assault,Saturday,2018,Outer Richmond,-122.5036086,37.77355432,Initial
Stolen Property,Tuesday,2018,Portola,-122.4026048,37.72257407,Initial
Fraud,Saturday,2018,Castro/Upper Market,-122.4365349,37.76398268,Initial
Assault,Monday,2018,Tenderloin,-122.4177068,37.78423574,Initial Supplement
Fraud,Saturday,2018,Financial District/South Beach,-122.3958134,37.79115281,Initial
Assault,Thursday,2018,Chinatown,-122.4030469,37.79421604,Initial
Fraud,Friday,2018,Sunset/Parkside,-122.4882867,37.73875766,Initial
Robbery,Saturday,2018,Western Addition,-122.4238252,37.78107768,Initial
Fraud,Monday,2018,South of Market,-122.4153716,37.77484408,Initial
Robbery,Tuesday,2018,South of Market,-122.4126167,37.77702642,Initial
Assault,Sunday,2018,Tenderloin,-122.4134874,37.77999174,Initial
Fraud,Friday,2018,Outer Richmond,-122.4745509,37.77301113,Initial
Stolen Property,Saturday,2018,Tenderloin,-122.4134874,37.77999174,Initial
Stolen Property,Saturday,2018,Hayes Valley,-122.4227876,37.77594986,Initial
Assault,Thursday,2018,Mission,-122.4238007,37.76156567,Initial
Assault,Monday,2018,Mission,-122.4067578,37.74876648,Initial
Assault,Tuesday,2018,Portola,-122.4065748,37.73214082,Initial
Stolen Property,Wednesday,2018,Financial District/South Beach,-122.400744,37.79117717,Initial
Fraud,Tuesday,2018,Chinatown,-122.4079033,37.7940603,Initial
Fraud,Saturday,2018,Pacific Heighs,-122.4263353,37.79351719,Initial Supplement
Assault,Sunday,2018,Hayes Valley,-122.4227876,37.77594986,Initial
Assault,Saturday,2018,Outer Mission,-122.4388635,37.71930936,Initial
Assault,Saturday,2018,North Beach,-122.4102065,37.8003155,Initial
Robbery,Sunday,2018,Tenderloin,-122.4099305,37.78742933,Initial
Fraud,Sunday,2018,South of Market,-122.409683,37.77283776,Initial
Assault,Tuesday,2018,Outer Mission,-122.4515381,37.71172831,Initial Supplement
Assault,Tuesday,2018,Inner Richmond,-122.4645514,37.78479187,Initial Supplement
Robbery,Saturday,2018,Mission,-122.4208127,37.76174749,Initial
Assault,Tuesday,2018,Financial District/South Beach,-122.399975,37.78701079,Initial
Fraud,Tuesday,2018,Financial District/South Beach,-122.4038416,37.78982934,Initial Supplement
Robbery,Tuesday,2018,South of Market,-122.4131611,37.77499175,Initial
Assault,Thursday,2018,McLaren Park,-122.4090219,37.71958672,Initial
Fraud,Wednesday,2018,Mission,-122.4210681,37.77234392,Initial
Assault,Saturday,2018,Mission,-122.4182713,37.76190156,Initial Supplement
Assault,Sunday,2018,Tenderloin,-122.4140538,37.78279445,Initial
Assault,Tuesday,2018,Financial District/South Beach,-122.4054982,37.79008054,Initial Supplement
Robbery,Monday,2018,Noe Valley,-122.4277356,37.75489672,Initial
Assault,Thursday,2018,West of Twin Peaks,-122.4662573,37.73032902,Initial
Assault,Monday,2018,Tenderloin,-122.4149954,37.78745384,Initial
Robbery,Wednesday,2018,West of Twin Peaks,-122.4675102,37.73794766,Initial
Robbery,Monday,2018,Sunset/Parkside,-122.4789048,37.74290864,Initial
Fraud,Wednesday,2018,West of Twin Peaks,-122.4735534,37.74314359,Initial
Fraud,Tuesday,2018,Potrero Hill,-122.4015894,37.75457055,Initial
Assault,Thursday,2018,Mission,-122.4186336,37.76568623,Initial
Stolen Property,Monday,2018,North Beach,-122.4154316,37.80634343,Initial
Assault,Saturday,2018,Financial District/South Beach,-122.407519,37.79225116,Initial
Assault,Wednesday,2018,Bayview Hunters Point,-122.3940928,37.73672865,Initial
Assault,Sunday,2018,Mission,-122.4185939,37.75383659,Initial
Robbery,Friday,2018,Nob Hill,-122.4206874,37.79057826,Initial
Assault,Monday,2018,Mission,-122.4194763,37.76305084,Initial
Robbery,Monday,2018,Golden Gate Park,-122.4532951,37.77139019,Initial Supplement
Stolen Property,Thursday,2018,Russian Hill,-122.4236551,37.80528698,Initial
Fraud,Sunday,2018,Bayview Hunters Point,-122.3935702,37.72697983,Initial
Assault,Tuesday,2018,Potrero Hill,-122.3899886,37.75527015,Initial
Robbery,Friday,2018,Mission,-122.4187476,37.75543694,Initial
Robbery,Saturday,2018,Financial District/South Beach,-122.4073229,37.79129813,Initial Supplement
Assault,Tuesday,2018,Marina,-122.4366933,37.80262842,Initial
Assault,Tuesday,2018,Castro/Upper Market,-122.4264907,37.76577361,Initial
Robbery,Saturday,2018,Visitacion Valley,-122.4020958,37.7135082,Initial
Robbery,Monday,2018,Hayes Valley,-122.4211484,37.77615876,Initial
Fraud,Tuesday,2018,Golden Gate Park,-122.4736552,37.7711558,Initial
Assault,Friday,2018,Outer Mission,-122.4347984,37.72468255,Initial
Assault,Thursday,2018,Hayes Valley,-122.4280081,37.77671971,Initial Supplement
Assault,Saturday,2018,Bayview Hunters Point,-122.4019551,37.72795746,Initial Supplement
Robbery,Saturday,2018,Western Addition,-122.4383655,37.77779419,Initial
Fraud,Saturday,2018,Mission Bay,-122.3913735,37.77283099,Initial
Fraud,Saturday,2018,Sunset/Parkside,-122.4960492,37.74215244,Initial
Assault,Sunday,2018,South of Market,-122.4072547,37.78211942,Initial
Assault,Sunday,2018,Bayview Hunters Point,-122.3886728,37.72704415,Initial
Assault,Saturday,2018,Russian Hill,-122.4219609,37.79689975,Initial
Assault,Tuesday,2018,Haight Ashbury,-122.4469338,37.7700076,Initial
Fraud,Sunday,2018,Noe Valley,-122.4291162,37.74596004,Initial
Assault,Saturday,2018,Glen Park,-122.4376829,37.74360858,Initial
Assault,Thursday,2018,Lakeshore,-122.472991,37.71501139,Initial
Fraud,Thursday,2018,Sunset/Parkside,-122.4979025,37.75329568,Initial
Fraud,Wednesday,2018,Pacific Heighs,-122.4437533,37.78764721,Initial Supplement
Fraud,Friday,2018,Presidio Heights,-122.4546178,37.78402999,Initial
Stolen Property,Saturday,2018,North Beach,-122.4118585,37.80536138,Initial
Assault,Friday,2018,Bayview Hunters Point,-122.3915214,37.73243191,Initial
Stolen Property,Wednesday,2018,Bernal Heights,-122.4049373,37.74822272,Initial Supplement
Fraud,Friday,2018,West of Twin Peaks,-122.4457822,37.73385029,Initial
Assault,Monday,2018,Financial District/South Beach,-122.4013145,37.79398706,Initial
Robbery,Sunday,2018,Mission Bay,-122.3940351,37.77633298,Initial
Fraud,Wednesday,2018,Bernal Heights,-122.4203824,37.74095635,Initial
Assault,Monday,2018,Glen Park,-122.4341445,37.73355034,Initial
Assault,Saturday,2018,Bayview Hunters Point,-122.3815644,37.72867801,Initial
Assault,Saturday,2018,Bayview Hunters Point,-122.3880558,37.7206928,Initial
Assault,Sunday,2018,Marina,-122.4378895,37.80060874,Initial
Stolen Property,Thursday,2018,Sunset/Parkside,-122.4813104,37.74654333,Initial
Assault,Friday,2018,Glen Park,-122.4343035,37.73452894,Initial
Assault,Wednesday,2018,Mission,-122.4181181,37.76030106,Initial
Fraud,Wednesday,2018,Golden Gate Park,-122.4620471,37.77177649,Initial
Assault,Sunday,2018,Mission,-122.4121979,37.75583251,Initial
Robbery,Monday,2018,Bayview Hunters Point,-122.382687,37.72742487,Initial
Fraud,Tuesday,2018,Potrero Hill,-122.4006333,37.76489751,Initial
Fraud,Tuesday,2018,Mission,-122.4104867,37.76560584,Initial
Fraud,Monday,2018,Mission Bay,-122.3933551,37.77578731,Initial Supplement
Fraud,Wednesday,2018,Tenderloin,-122.4111398,37.7850746,Initial
Robbery,Wednesday,2018,West of Twin Peaks,-122.4523316,37.72308024,Initial
Assault,Tuesday,2018,Hayes Valley,-122.4219412,37.77303605,Initial
Assault,Thursday,2018,Haight Ashbury,-122.4497697,37.76486645,Initial
Fraud,Saturday,2018,Chinatown,-122.4098788,37.79844229,Initial
Fraud,Thursday,2018,Outer Richmond,-122.5092282,37.777044,Initial
Assault,Sunday,2018,Excelsior,-122.4374611,37.72116355,Initial
Robbery,Friday,2018,Castro/Upper Market,-122.4327935,37.76102131,Initial
Assault,Wednesday,2018,Mission,-122.414086,37.75250606,Initial
Assault,Friday,2018,Bayview Hunters Point,-122.3888551,37.72998041,Initial
Assault,Monday,2018,Mission,-122.4052077,37.75178695,Initial
Assault,Saturday,2018,Castro/Upper Market,-122.4308822,37.76437351,Initial
Robbery,Monday,2018,Tenderloin,-122.4080362,37.78640961,Initial
Fraud,Saturday,2018,Nob Hill,-122.4202104,37.7882227,Initial
Assault,Sunday,2018,Financial District/South Beach,-122.4078525,37.78549156,Initial
Assault,Thursday,2018,Bayview Hunters Point,-122.3989421,37.73758867,Initial
Fraud,Friday,2018,Excelsior,-122.4339851,37.7200628,Initial
Fraud,Friday,2018,Russian Hill,-122.4127544,37.80143,Initial
Assault,Thursday,2018,Chinatown,-122.4074852,37.79501597,Initial
Robbery,Sunday,2018,Financial District/South Beach,-122.4045833,37.78673057,Initial
Assault,Wednesday,2018,Bayview Hunters Point,-122.3772026,37.73001583,Initial Supplement
Fraud,Friday,2018,Russian Hill,-122.4138609,37.80272518,Initial Supplement
Assault,Friday,2018,Twin Peaks,-122.4546641,37.74610617,Initial
Fraud,Friday,2018,Tenderloin,-122.4080362,37.78640961,Coplogic Initial
Assault,Thursday,2018,West of Twin Peaks,-122.4713568,37.74323996,Initial
Assault,Tuesday,2018,Outer Mission,-122.4417995,37.71542968,Initial
Fraud,Monday,2018,Mission,-122.4229096,37.75277762,Initial
Fraud,Sunday,2018,North Beach,-122.4090505,37.80811075,Initial
Assault,Sunday,2018,Western Addition,-122.423731,37.78061162,Initial
Assault,Saturday,2018,North Beach,-122.4062314,37.79792027,Initial
Stolen Property,Friday,2018,Mission,-122.4161076,37.75077109,Initial
Assault,Saturday,2018,Mission,-122.4263094,37.7696026,Initial
Fraud,Wednesday,2018,South of Market,-122.4036355,37.77516081,Initial Supplement
Assault,Thursday,2018,Outer Richmond,-122.4951749,37.77581328,Initial Supplement
Assault,Saturday,2018,Presidio Heights,-122.4486562,37.78797716,Initial
Assault,Thursday,2018,Mission,-122.41469,37.75889599,Initial
Assault,Monday,2018,Bayview Hunters Point,-122.3989705,37.73016461,Initial
Robbery,Tuesday,2018,Outer Mission,-122.4430659,37.7249883,Initial Supplement
Fraud,Thursday,2018,Mission,-122.4137496,37.77034734,Initial
Robbery,Thursday,2018,North Beach,-122.413975,37.80748251,Initial Supplement
Fraud,Friday,2018,Bayview Hunters Point,-122.36843,37.72784493,Initial
Stolen Property,Monday,2018,North Beach,-122.4156164,37.80727587,Initial
Assault,Friday,2018,Financial District/South Beach,-122.4082267,37.78735926,Initial
Fraud,Monday,2018,South of Market,-122.4186586,37.77555816,Coplogic Initial
Stolen Property,Tuesday,2018,Nob Hill,-122.4201161,37.78775665,Initial
Assault,Wednesday,2018,Outer Richmond,-122.4923752,37.78167665,Initial
Fraud,Friday,2018,South of Market,-122.4085163,37.7737597,Initial
Fraud,Friday,2018,Inner Sunset,-122.4652449,37.76408378,Initial
Assault,Tuesday,2018,Potrero Hill,-122.3959429,37.75493197,Initial
Fraud,Tuesday,2018,Excelsior,-122.4332315,37.72393244,Initial
Fraud,Wednesday,2018,Lone Mountain/USF,-122.4513462,37.7770904,Initial
Assault,Thursday,2018,Haight Ashbury,-122.4499581,37.76580003,Initial Supplement
Fraud,Tuesday,2018,Outer Mission,-122.4526647,37.70880634,Initial
Robbery,Monday,2018,Excelsior,-122.4396403,37.71695853,Vehicle Supplement
Assault,Wednesday,2018,Mission,-122.4221992,37.76813968,Initial
Stolen Property,Wednesday,2018,South of Market,-122.4126167,37.77702642,Initial
Assault,Wednesday,2018,Mission,-122.4114841,37.74829829,Initial
Fraud,Tuesday,2018,Bernal Heights,-122.4178511,37.74477017,Initial
Robbery,Tuesday,2018,Mission,-122.421143,37.75207443,Initial
Robbery,Thursday,2018,Tenderloin,-122.4180881,37.78610104,Initial
Assault,Saturday,2018,Outer Richmond,-122.4895395,37.77232547,Initial
Fraud,Wednesday,2018,Mission,-122.4072912,37.75290661,Initial
Fraud,Tuesday,2018,Inner Richmond,-122.4709815,37.78452448,Initial
Robbery,Tuesday,2018,Tenderloin,-122.4155052,37.78165426,Initial
Assault,Monday,2018,Bayview Hunters Point,-122.3864519,37.71116108,Initial Supplement
Fraud,Tuesday,2018,Financial District/South Beach,-122.3908567,37.78441057,Initial
Robbery,Tuesday,2018,Nob Hill,-122.4111865,37.79364256,Initial
Robbery,Sunday,2018,Visitacion Valley,-122.4160003,37.71191456,Initial
Assault,Tuesday,2018,Castro/Upper Market,-122.4329491,37.7626182,Initial
Fraud,Saturday,2018,Mission,-122.4193593,37.76183585,Initial
Assault,Thursday,2018,South of Market,-122.4076914,37.78016203,Initial
Fraud,Thursday,2018,Outer Mission,-122.4430659,37.7249883,Initial
Assault,Saturday,2018,West of Twin Peaks,-122.4511685,37.73380155,Initial
Assault,Monday,2018,Tenderloin,-122.4093092,37.78434927,Initial
Robbery,Friday,2018,Hayes Valley,-122.4249982,37.77853793,Initial
Robbery,Monday,2018,Russian Hill,-122.4181123,37.79456736,Initial
Fraud,Monday,2018,Bayview Hunters Point,-122.3816081,37.73117466,Initial
Assault,Saturday,2018,South of Market,-122.4141069,37.77670769,Initial
Robbery,Wednesday,2018,Haight Ashbury,-122.4320923,37.77189726,Initial
Fraud,Thursday,2018,Castro/Upper Market,-122.4422382,37.75810351,Initial
Fraud,Tuesday,2018,North Beach,-122.413975,37.80748251,Initial
Fraud,Thursday,2018,Presidio Heights,-122.4490794,37.78231437,Initial
Robbery,Tuesday,2018,South of Market,-122.4119334,37.78000587,Initial
Assault,Wednesday,2018,South of Market,-122.4070148,37.77739963,Initial
Assault,Thursday,2018,Western Addition,-122.4233083,37.78686837,Initial
Fraud,Thursday,2018,Bayview Hunters Point,-122.3912445,37.73322326,Initial
Fraud,Thursday,2018,Financial District/South Beach,-122.399975,37.78701079,Initial
Fraud,Thursday,2018,Visitacion Valley,-122.4168084,37.70923282,Initial
Fraud,Wednesday,2018,Financial District/South Beach,-122.3976083,37.7935086,Initial
Fraud,Thursday,2018,Haight Ashbury,-122.4339222,37.77262031,Initial
Robbery,Thursday,2018,Visitacion Valley,-122.4193478,37.7099469,Initial
Robbery,Sunday,2018,Tenderloin,-122.4109516,37.78414101,Initial
Assault,Tuesday,2018,Bernal Heights,-122.4067109,37.74335179,Initial
Assault,Tuesday,2018,Tenderloin,-122.418271,37.78703795,Initial
Robbery,Monday,2018,Financial District/South Beach,-122.4065899,37.78756802,Initial
Assault,Thursday,2018,Potrero Hill,-122.4015894,37.75457055,Initial
Assault,Saturday,2018,Financial District/South Beach,-122.4073229,37.79129813,Initial
Robbery,Wednesday,2018,Marina,-122.4320159,37.79657475,Vehicle Initial
Robbery,Sunday,2018,Mission,-122.4170258,37.76036702,Initial Supplement
Assault,Thursday,2018,Sunset/Parkside,-122.5005673,37.76066132,Initial
Fraud,Thursday,2018,Lone Mountain/USF,-122.4587316,37.77933316,Initial
Assault,Tuesday,2018,Mission,-122.4114244,37.7574849,Initial
Assault,Wednesday,2018,Financial District/South Beach,-122.3949402,37.79184209,Initial
Robbery,Tuesday,2018,Financial District/South Beach,-122.4013755,37.78926432,Initial
Assault,Wednesday,2018,South of Market,-122.4081608,37.78053539,Initial
Stolen Property,Friday,2018,South of Market,-122.415128,37.7758897,Initial
Robbery,Sunday,2018,Tenderloin,-122.4140538,37.78279445,Initial Supplement
Assault,Saturday,2018,Outer Richmond,-122.4815157,37.78022582,Initial Supplement
Assault,Friday,2018,Bayview Hunters Point,-122.39205,37.71858493,Initial
Assault,Wednesday,2018,Treasure Island,-122.3755931,37.8245243,Initial
Robbery,Monday,2018,Financial District/South Beach,-122.4034308,37.78764185,Initial
Fraud,Friday,2018,Sunset/Parkside,-122.4803369,37.76342029,Initial
Robbery,Tuesday,2018,Outer Mission,-122.431393,37.7310095,Initial
Assault,Sunday,2018,Bayview Hunters Point,-122.3924151,37.72915975,Initial
Stolen Property,Wednesday,2018,Financial District/South Beach,-122.4037118,37.78404444,Initial
Stolen Property,Wednesday,2018,South of Market,-122.3975389,37.77913222,Initial
Robbery,Monday,2018,Marina,-122.4443186,37.79879024,Initial
