Incident Category,Incident Day of Week,Incident Year,Analysis Neighborhood,Longitude,Latitude,Report Type Description
Assault,Wednesday,2018,North Beach,-122.4071488,37.7984898,Initial
Assault,Wednesday,2018,Mission,-122.4244242,37.76862931,Initial
Assault,Friday,2018,South of Market,-122.4085163,37.7737597,Initial
Fraud,Thursday,2018,Lakeshore,-122.4761099,37.72005134,Initial
Assault,Tuesday,2018,Financial District/South Beach,-122.3908567,37.78441057,Initial
Fraud,Wednesday,2018,South of Market,-122.4032051,37.7730511,Initial
Fraud,Saturday,2018,Portola,-122.4081691,37.73585911,Initial
Fraud,Friday,2018,Financial District/South Beach,-122.4011263,37.7930603,Initial
Robbery,Wednesday,2018,Tenderloin,-122.4084932,37.78445273,Initial
Assault,Thursday,2018,Excelsior,-122.4320055,37.72123726,Initial
Robbery,Tuesday,2018,West of Twin Peaks,-122.466991,37.7397235,Initial
Assault,Friday,2018,Bayview Hunters Point,-122.3904163,37.73559052,Initial
Robbery,Wednesday,2018,Financial District/South Beach,-122.3965859,37.79458822,Initial
Assault,Monday,2018,Outer Mission,-122.4348704,37.72458771,Initial
Fraud,Friday,2018,Excelsior,-122.4228301,37.72394419,Initial
Assault,Saturday,2018,South of Market,-122.4105058,37.77709218,Initial
Assault,Saturday,2018,Financial District/South Beach,-122.3911797,37.78745519,Initial
Fraud,Saturday,2018,Tenderloin,-122.4180432,37.77751171,Coplogic Initial
Assault,Monday,2018,Chinatown,-122.4058457,37.79522323,Initial
Assault,Tuesday,2018,Mission,-122.4199815,37.76827365,Initial
Assault,Monday,2018,Lone Mountain/USF,-122.4530033,37.77497075,Initial
Robbery,Wednesday,2018,Outer Richmond,-122.5098948,37.77139603,Initial
Robbery,Thursday,2018,South of Market,-122.4131611,37.77499175,Initial
Stolen Property,Friday,2018,Russian Hill,-122.422056,37.79737065,Initial
Fraud,Thursday,2018,Bernal Heights,-122.408591,37.74335279,Initial
Assault,Sunday,2018,Hayes Valley,-122.436129,37.77520593,Initial
Assault,Sunday,2018,Sunset/Parkside,-122.4896202,37.74243744,Initial Supplement
Assault,Friday,2018,Golden Gate Park,-122.4643125,37.76607183,Initial
Assault,Wednesday,2018,Portola,-122.4047064,37.73031802,Initial Supplement
Assault,Tuesday,2018,Mission,-122.4186336,37.76568623,Initial
